Year,Increase in National GDP,Increase in CO2 emissions
1990,0,0
1991,9.545747332,21.21964798
1992,19.27866618,34.4423642
1993,31.08167399,59.59719005
1994,43.15680399,61.2280365
1995,57.22780781,101.9467374
1996,72.9548828,102.8925012
1997,85.61999981,118.3024293
1998,71.95927969,102.2903567
1999,82.5132327,91.61188253
2000,98.68186443,126.4286421
2001,99.71060763,141.1858927
2002,110.4769373,143.2960703
2003,122.660356,182.6352268
2004,137.7643039,212.6522728
2005,150.4424903,213.2122941
2006,164.4290102,213.5589538
2007,181.0849413,223.3029412
2008,194.6663119,255.3516124
2009,190.2064021,254.0169367
2010,211.7539978,267.3276879
2011,228.2577646,274.8943326
2012,246.2248299,292.4748961
2013,262.4760785,345.3177118
2014,284.2486534,351.5501232
2015,303.8129778,334.7605032
2016,321.7819102,337.2520194
2017,346.2985782,350.4513633
2018,367.914788,383.9693165
2019,388.5643338,411.6568162
2020,361.9028949,383.0696376
2021,377.2173523,403.6583071
2022,420.3181449,419.4160742
2023,438.7225661,409.1210761
2024,466.2241764,434.7839344
